group_column,group_value,model,attack_rows,true_positive,false_negative,recall,false_negative_rate
attack_type,From-Botnet-V43-TCP-Established-HTTP-Ad-25,gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-Established-HTTP-Ad-25,xgboost,1,1,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-Established-HTTP-Ad-25,xgboost_gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-Established-HTTP-Ad-31,gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-Established-HTTP-Ad-31,xgboost,1,0,1,0.0,1.0
attack_type,From-Botnet-V43-TCP-Established-HTTP-Ad-31,xgboost_gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-Established-HTTP-Ad-33,gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-Established-HTTP-Ad-33,xgboost,1,1,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-Established-HTTP-Ad-33,xgboost_gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-Established-HTTP-Ad-34,gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-Established-HTTP-Ad-34,xgboost,1,0,1,0.0,1.0
attack_type,From-Botnet-V43-TCP-Established-HTTP-Ad-34,xgboost_gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-Established-HTTP-Ad-41,gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-Established-HTTP-Ad-41,xgboost,1,0,1,0.0,1.0
attack_type,From-Botnet-V43-TCP-Established-HTTP-Ad-41,xgboost_gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-Established-HTTP-Ad-43,gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-Established-HTTP-Ad-43,xgboost,1,0,1,0.0,1.0
attack_type,From-Botnet-V43-TCP-Established-HTTP-Ad-43,xgboost_gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-Established-HTTP-Ad-46,gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-Established-HTTP-Ad-46,xgboost,1,1,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-Established-HTTP-Ad-46,xgboost_gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-Established-HTTP-Ad-yieldmanager-8,gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-Established-HTTP-Ad-yieldmanager-8,xgboost,1,0,1,0.0,1.0
attack_type,From-Botnet-V43-TCP-Established-HTTP-Ad-yieldmanager-8,xgboost_gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-HTTP-Google-Net-Established-6,gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-HTTP-Google-Net-Established-6,xgboost,1,1,0,1.0,0.0
attack_type,From-Botnet-V43-TCP-HTTP-Google-Net-Established-6,xgboost_gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V44-UDP-DNS,gru,1,0,1,0.0,1.0
attack_type,From-Botnet-V44-UDP-DNS,xgboost,1,0,1,0.0,1.0
attack_type,From-Botnet-V44-UDP-DNS,xgboost_gru,1,0,1,0.0,1.0
attack_type,From-Botnet-V50-1-TCP-CC16-HTTP-Not-Encrypted,gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V50-1-TCP-CC16-HTTP-Not-Encrypted,xgboost,1,1,0,1.0,0.0
attack_type,From-Botnet-V50-1-TCP-CC16-HTTP-Not-Encrypted,xgboost_gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V50-1-TCP-CC6-Plain-HTTP-Encrypted-Data,gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V50-1-TCP-CC6-Plain-HTTP-Encrypted-Data,xgboost,1,1,0,1.0,0.0
attack_type,From-Botnet-V50-1-TCP-CC6-Plain-HTTP-Encrypted-Data,xgboost_gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V50-1-TCP-Established-HTTP-Ad-12,gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V50-1-TCP-Established-HTTP-Ad-12,xgboost,1,1,0,1.0,0.0
attack_type,From-Botnet-V50-1-TCP-Established-HTTP-Ad-12,xgboost_gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V50-1-TCP-Established-HTTP-Ad-yieldmanager-8,gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V50-1-TCP-Established-HTTP-Ad-yieldmanager-8,xgboost,1,1,0,1.0,0.0
attack_type,From-Botnet-V50-1-TCP-Established-HTTP-Ad-yieldmanager-8,xgboost_gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V50-1-TCP-Established-HTTP-Binary-Download-9,gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V50-1-TCP-Established-HTTP-Binary-Download-9,xgboost,1,1,0,1.0,0.0
attack_type,From-Botnet-V50-1-TCP-Established-HTTP-Binary-Download-9,xgboost_gru,1,1,0,1.0,0.0
